2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
370 7.232288 1.314086 1.000000 1.000000 0.000000 0.978400 
371 7.015727 1.237922 1.000000 1.000000 0.000000 0.978400 
372 6.817099 1.292459 1.000000 1.000000 0.000000 0.978400 
373 6.654778 1.195660 1.000000 1.000000 0.000000 0.978400 
374 6.421279 1.190202 1.000000 1.000000 0.000000 0.978400 
375 6.214891 1.189126 1.000000 1.000000 0.000000 0.978400 
376 6.014417 1.190294 1.000000 1.000000 0.000000 0.978400 
377 5.815369 1.192965 1.000000 1.000000 0.000000 0.978400 
378 5.617743 1.200286 1.000000 1.000000 0.000000 0.978400 
379 5.420118 1.207570 1.000000 1.000000 0.000000 0.978400 
380 5.221069 1.210194 1.000000 1.000000 0.000000 0.978400 
381 5.021544 1.211314 1.000000 1.000000 0.000000 0.978400 
382 4.821545 1.210956 1.000000 1.000000 0.000000 0.978400 
383 4.621545 1.210688 1.000000 1.000000 0.000000 0.978400 
384 4.421546 1.210510 1.000000 1.000000 0.000000 0.978400 
385 4.219228 1.209515 1.000000 1.000000 0.000000 0.978400 
386 4.011890 1.210385 1.000000 1.000000 0.000000 0.978400 
387 3.809241 1.223179 1.000000 1.000000 0.000000 0.978400 
388 3.617429 1.231496 1.000000 1.000000 0.000000 0.978400 
389 3.423825 1.225068 1.000000 1.000000 0.000000 0.978400 
390 3.224248 1.222308 1.000000 1.000000 0.000000 0.978400 
391 3.024353 1.225568 1.000000 1.000000 0.000000 0.978400 
